Word,Count
the,750
a,720
to,429
in,339
*,329
form,319
be,300
,253
or,224
attribute,193
of,187
@attr,183
reference,155
theme,155
<p>This,149
<p>Must,148
for,147
is,141
(in,110
this,101
\resource,\,100
www.apache.org/licenses/LICENSE-2.0,100
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\\,100
\"\<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>"\\,100
another,100
name,100
resource,99
symbol,94
@see,94
<tr><td><code>{@link,94
description,91
<p>,89
with,86
as,81
The,74
may,72
\value,\,72
action,66
value,61
type,60
/>,60
<colgroup,60
{@link,60
\align="\left"\\,60
Specifies,59
on,59
containing,58
that,56
an,56
also,56
such,55
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\)\,55
\"\<code>@[<i>package</i>:]<i>type</i>:<i>name</i></code>"\)\,55
private,53
use,50
item,50
dimension,48
number,46
which,45
either,43
bar,41
appended,40
point,40
floating,40
used,39
global,38
corresponds,36
preferred,35
<p>May,34
(scaled,32
\(inches),\,32
are:,32
pixels,32
sp,32
dp,32
when,32
\size),\,32
units,32
Available,32
mm,32
px,32
(density-independent,32
based,32
font,32
\"\<code>14.5sp</code>"\\,32
unit,32
(millimeters),32
\(pixels),\,32
\pixels),\,32
License,30
and,27
drawable,27
Default,26
**,26
text,25
<table>,25
</table>,25
following,25
will,24
can,23
items,23
menu,22
by,22
</td></tr>,22
optional,22
style,22
should,20
background,20
navigation,19
Whether,19
dropdown,19
under,18
drawer,18
show,18
view,18
layout,17
spinner,17
it,17
not,16
size,16
fixed,16
title,16
suffix,16
%,16
This,16
string,15
See,15
if,15
<tr><th>Attribute</th><th>Description</th></tr>,15
Attributes,15
attributes:</p>,15
<p>Includes,15
using,15
A,15
window,14
icon,13
\"\<code>true</code>"\\,13
\"\<code>false</code>"\\,13
boolean,13
axis,12
'\\;',12
\is,\,12
'\\n',12
escape,12
along,12
height,12
more,12
'\\uxxxx',12
you,12
characters,12
\screen,\,12
unicode,12
character,12
distributed,12
screen,11
applied,11
always,10
end,10
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,10
constant,10
one,10
some,10
set,10
query,10
parent,10
category,10
bar.</td></tr>,10
values.</p>,10
width,10
padding,10
container,10
user,9
offset,9
where,9
divider,9
progress,9
fragment,9
mode,9
item.</td></tr>,9
activity,9
base,8
options,8
default,8
prompt,8
provides,8
\%p,\,8
