File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\debug\com\psyngo\michael\symondstimetableplus\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test\debug\com\psyngo\michael\symondstimetableplus\test\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug\android\support\v7\appcompat\R.java,617,609,612,0,2,0,6,32,6,32
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug\com\psyngo\michael\symondstimetableplus\R.java,2955,723,678,0,4,0,2228,11236,6,32
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\AndroidManifest.xml,19,15,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\anim\abc_fade_in.xml,20,16,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\anim\abc_fade_out.xml,20,16,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\anim\abc_slide_in_bottom.xml,20,16,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\anim\abc_slide_in_top.xml,19,16,1,0,3,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\anim\abc_slide_out_bottom.xml,19,16,1,0,3,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\anim\abc_slide_out_top.xml,19,16,1,0,3,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\color\abc_search_url_text_holo.xml,21,17,1,0,4,1,0,1,0,0
