Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,289,23673,18658,2090,105,2582,115,2433,12676,18,82
D:\AndroidStudioProjects\SymondsTimetablePlus,289,23673,18658,2090,105,2582,115,2433,12676,18,82
D:\AndroidStudioProjects\SymondsTimetablePlus\app,288,23637,18625,2090,105,2579,115,2433,12676,18,82
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build,265,21887,17367,1427,9,2190,100,2330,11984,18,82
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated,4,3600,1350,1306,0,10,0,2240,11286,18,82
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source,4,3600,1350,1306,0,10,0,2240,11286,18,82
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig,2,28,18,16,0,4,0,6,18,6,18
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\debug\com,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\debug\com\psyngo,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\debug\com\psyngo\michael,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\debug\com\psyngo\michael\symondstimetableplus,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test\debug,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test\debug\com,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test\debug\com\psyngo,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test\debug\com\psyngo\michael,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test\debug\com\psyngo\michael\symondstimetableplus,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\buildConfig\test\debug\com\psyngo\michael\symondstimetableplus\test,1,14,9,8,0,2,0,3,9,3,9
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r,2,3572,1332,1290,0,6,0,2234,11268,12,64
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug,2,3572,1332,1290,0,6,0,2234,11268,12,64
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug\android,1,617,609,612,0,2,0,6,32,6,32
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug\android\support,1,617,609,612,0,2,0,6,32,6,32
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug\android\support\v7,1,617,609,612,0,2,0,6,32,6,32
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug\android\support\v7\appcompat,1,617,609,612,0,2,0,6,32,6,32
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\generated\source\r\debug\com,1,2955,723,678,0,4,0,2228,11236,6,32
